target_id,label,scope,required_source_ids,reference_url,enforced,notes
federal_departments,Socle exécutif fédéral,fédéral,prime_minister|fps_chancellery|fps_bosa|fps_foreign_affairs|fps_interior|fps_finance|fps_mobility|fps_employment|fps_social_security|fps_health|fps_justice|fps_economy|defence|spp_social_integration|belspo,https://www.belgium.be/fr/la_belgique/pouvoirs_publics/autorites_federales/services_publics_federaux_et_de_programmation,true,Premier ministre départements fédéraux Défense et services publics de programmation
federal_parliament,Parlement fédéral,fédéral,chamber|senate,https://www.belgium.be/fr/la_belgique/pouvoirs_publics/autorites_federales/parlement_federal,true,Deux chambres du Parlement fédéral
federated_executives,Exécutifs des entités fédérées,interfédéral,walloon_government|brussels_region|flemish_government|fwb_government|german_speaking_community,https://www.belgium.be/fr/la_belgique/pouvoirs_publics/la_belgique_federale,true,Gouvernements des trois régions et des trois communautés avec fusion flamande
federated_parliaments,Parlements des entités fédérées,interfédéral,walloon_parliament|brussels_parliament|flemish_parliament|fwb_parliament|german_parliament,https://www.belgium.be/fr/la_belgique/pouvoirs_publics/la_belgique_federale,true,Assemblées des trois régions et des trois communautés avec fusion flamande
justice_apex_and_governance,Hautes juridictions et gouvernance judiciaire,fédéral,constitutional_court|council_of_state|court_of_cassation|high_council_justice,https://www.belgium.be/fr/justice/organisation,true,Institutions transversales sélectionnées pour leur portée sociétale
public_oversight_rights,Contrôle public et droits,interfédéral,court_of_audit|federal_ombudsman|data_protection_authority|unia|myria|ccsp|firm_ifdh|committee_p|igvm_iefh|defenseur_enfants|kinderrechtencommissariaat,https://www.belgium.be/fr/la_belgique/pouvoirs_publics,true,Contre-pouvoirs publics indépendants avec production régulière dont prisons police égalité et droits humains ou des enfants
economic_statistics_regulators,Économie statistiques et régulateurs,fédéral,nbb|planning_bureau|statbel|fps_economy|creg|fsma|bipt|competition_authority,https://www.belgium.be/fr/economie,true,Producteurs nationaux à portée macroéconomique sectorielle ou consommateur
social_protection,Sécurité sociale et marché du travail,fédéral,fps_social_security|onem|onss|inasti|inami|federal_pensions,https://www.socialsecurity.be/citizen/fr/,true,Institutions nationales couvrant emploi soins indépendants et pensions
health_expertise_safety,Santé expertise et sécurité,fédéral,fps_health|sciensano|kce|afmps|afsca,https://www.health.belgium.be/fr,true,Autorités et instituts fédéraux produisant alertes données et expertise
wallonia_functional_bodies,Producteurs fonctionnels wallons,région,spw|iweps|forem|aviq|cwape|cese_wallonia|wallonie_entreprendre|swl|awac|tec,https://www.wallonie.be/fr/acteurs-et-institutions/wallonie/autres-acteurs-publics-de-la-wallonie,true,Sélection à fort signal couvrant dix fonctions éditoriales et non inventaire exhaustif des organismes
brussels_functional_bodies,Producteurs fonctionnels bruxellois,région,brussels_public_service|ibsa|actiris|brussels_environment|vivalis|brugel|brupartners|hub_brussels|slrb|stib,https://be.brussels/fr/propos-de-la-region/structure-et-organisation/administrations-et-institutions-de-la-region,true,Sélection à fort signal couvrant dix fonctions éditoriales et non inventaire exhaustif des organismes
flanders_functional_bodies,Producteurs fonctionnels flamands,région|communauté,flemish_administration|statistics_flanders|vdab|department_zorg|vmm|flemish_utilities_regulator|serv|vlaio|wonen_vlaanderen|de_lijn,https://www.vlaanderen.be/uw-overheid/werking-en-structuur-van-de-vlaamse-overheid/structuur-van-de-vlaamse-overheid,true,Sélection à fort signal traversant les domaines politiques flamands et non inventaire exhaustif des organismes
fwb_functional_bodies,Producteurs fonctionnels de la Fédération Wallonie-Bruxelles,communauté,fwb_administration|one|ares|csa|wbe,https://www.cfwb.be/,true,Sélection de cinq producteurs communautaires à fort signal et non inventaire exhaustif des organismes administratifs publics
german_functional_bodies,Producteurs fonctionnels de la Communauté germanophone,communauté,german_speaking_community|adg|wsr_dg|ostbelgien_statistics,https://www.ostbelgienlive.be/desktopdefault.aspx/tabid-506/,true,Administration emploi concertation et statistiques comme premier socle fonctionnel germanophone
federal_party_producers,Producteurs politiques nationaux,national,mr_party|ps_party|les_engages_party|ecolo_party|ptb_pvda_party|nva_party|vlaams_belang_party|vooruit_party|cdv_party|anders_party|groen_party,https://www.lachambre.be/,true,Sélection opérationnelle des partis représentés au niveau fédéral avec DéFI suivi en complément régional
flemish_party_producers,Producteurs politiques du Parlement flamand,région,nva_party|vlaams_belang_party|vooruit_party|cdv_party|anders_party|ptb_pvda_party|groen_party|team_fouad_ahidar,https://www.vlaamsparlement.be/nl/vlaamse-volksvertegenwoordigers-in-het-Vlaams-Parlement,true,Partis proposés par le filtre officiel des représentants du Parlement flamand
german_party_producers,Producteurs politiques germanophones,communauté,prodg_party|csp_dg_party|vivant_dg_party|sp_dg_party|pff_dg_party|ecolo_dg_party,https://www.pdg.be/,true,Partis représentés au Parlement de la Communauté germanophone
national_social_partners,Partenaires sociaux nationaux,national,fgtb|csc|cgslb|feb|ucm|unizo,https://cnt-nar.be/fr/liens,true,Organisations de travailleurs et d'employeurs reliées par le Conseil national du Travail avec Voka suivi en complément régional
mutuality_unions_and_caami,Unions nationales de mutualités et CAAMI,national,mutualities_christian|mutualities_neutral|mutualities_solidaris|mutualities_liberal|mutualities_free|caami,https://www.inami.fgov.be/fr/professionnels/autres-professionnels/mutualites/contactez-les-mutualites,true,Cinq unions nationales et caisse publique auxiliaire recensées par l'INAMI
poverty_networks,Réseaux régionaux de lutte contre la pauvreté,région,rwlp|netwerk_tegen_armoede,https://luttepauvrete.be/service/reseaux-belges-de-lutte-contre-la-pauvrete/,true,Deux réseaux régionaux de terrain reliés par le Service de lutte contre la pauvreté
justice_operations_and_professions,Fonctionnement judiciaire et professions,national,om_mp|college_courts|avocats_be|ovb,https://www.belgium.be/fr/justice/organisation,true,Sélection opérationnelle du ministère public du siège et des deux ordres communautaires d'avocats
fr_de_daily_press,Quotidiens francophones et germanophone,national,le_soir|la_libre|lavenir|sudinfo|lecho|dhnet|grenzecho,https://www.lapresse.be/membres/,true,Titres et groupes de presse quotidienne recensés par La Presse.be; le paywall n'empêche pas la surveillance des métadonnées publiques
nl_daily_press,Quotidiens néerlandophones,national,de_morgen|hln|de_standaard|het_nieuwsblad|gva|hbvl|de_tijd,https://www.vlaamsenieuwsmedia.be/nieuwsbedrijven/,true,Sept quotidiens payants recensés par Vlaamse Nieuwsmedia; le paywall n'empêche pas la surveillance des métadonnées publiques
